source_record_id,event_id,episode_id,state_code,state_name,county_zone_code,county_zone_name,event_type,hazard_group,begin_datetime,end_datetime,source_type,magnitude,magnitude_type,injuries_direct,injuries_indirect,fatalities_direct,fatalities_indirect,damage_property_text,damage_crops_text,event_narrative,synthetic_record_flag
SRC_EVT_0000001,EVT0000001,EPI000001,SW11,Pine Highlands,Z213,Pine Highlands Zone 13,Heavy Snow,Winter,2025-05-14T10:34:25Z,2025-05-22T02:50:25Z,Trained Spotter,0.77,IN,0,0,0,0,0,0,Synthetic heavy snow training event in Pine Highlands Zone 13; no real incident or person is represented.,Y
SRC_EVT_0000002,EVT0000002,EPI000001,SW05,Great Basin,Z081,Great Basin Zone 01,Heavy Snow,Winter,2025-08-16T07:22:27Z,2025-08-21T06:00:27Z,Emergency Manager,1.87,IN,0,0,0,0,10.40K,0,Synthetic heavy snow training event in Great Basin Zone 01; no real incident or person is represented.,Y
SRC_EVT_0000003,EVT0000003,EPI000001,SW04,Red Mesa,Z062,Red Mesa Zone 02,Dense Fog,Visibility,2025-07-19T04:10:11Z,2025-07-19T13:13:11Z,Emergency Manager,0.25,MI,0,0,0,0,67.43K,0,Synthetic dense fog training event in Red Mesa Zone 02; no real incident or person is represented.,Y
SRC_EVT_0000004,EVT0000004,EPI000002,SW01,North Coast,Z015,North Coast Zone 15,Heavy Rain,Flood,2025-04-03T03:58:17Z,2025-04-04T07:05:17Z,Fire Department,,,0,0,0,0,0,0,Synthetic heavy rain training event in North Coast Zone 15; no real incident or person is represented.,Y
SRC_EVT_0000005,EVT0000005,EPI000002,SW02,Cascade,Z025,Cascade Zone 05,Cold/Wind Chill,Temperature,2025-09-03T14:56:20Z,2025-09-11T12:50:20Z,Fire Department,-14.4,F,0,0,0,0,0,3.88K,Synthetic cold/wind chill training event in Cascade Zone 05; no real incident or person is represented.,Y
SRC_EVT_0000006,EVT0000006,EPI000002,SW08,River Valley,Z152,River Valley Zone 12,Excessive Heat,Temperature,2025-01-02T11:07:39Z,2025-01-04T00:50:39Z,Media,108.6,F,0,0,0,0,24.13K,9.90K,Synthetic excessive heat training event in River Valley Zone 12; no real incident or person is represented.,Y
SRC_EVT_0000007,EVT0000007,EPI000003,SW06,Prairie North,Z114,Prairie North Zone 14,Thunderstorm Wind,Convective,2025-05-20T12:13:04Z,2025-05-20T18:02:04Z,Trained Spotter,44.7,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Prairie North Zone 14; no real incident or person is represented.,Y
SRC_EVT_0000008,EVT0000008,EPI000003,SW03,High Plains,Z046,High Plains Zone 06,Hail,Convective,2025-08-14T23:26:07Z,2025-08-15T00:10:07Z,Fire Department,0.54,IN,0,0,0,0,0,0,Synthetic hail training event in High Plains Zone 06; no real incident or person is represented.,Y
SRC_EVT_0000009,EVT0000009,EPI000004,SW12,Northeast Corridor,Z232,Northeast Corridor Zone 12,Thunderstorm Wind,Convective,2025-10-31T15:18:38Z,2025-10-31T22:30:38Z,Emergency Manager,57.6,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Northeast Corridor Zone 12; no real incident or person is represented.,Y
SRC_EVT_0000010,EVT0000010,EPI000005,SW09,Gulf Reach,Z180,Gulf Reach Zone 20,Hail,Convective,2025-02-24T01:23:30Z,2025-02-24T02:27:30Z,Fire Department,1.07,IN,0,0,0,0,0,0,Synthetic hail training event in Gulf Reach Zone 20; no real incident or person is represented.,Y
SRC_EVT_0000011,EVT0000011,EPI000005,SW12,Northeast Corridor,Z232,Northeast Corridor Zone 12,Excessive Heat,Temperature,2025-11-01T05:53:42Z,2025-11-09T05:05:42Z,Automated Sensor,101.1,F,0,0,0,0,0,15.04K,Synthetic excessive heat training event in Northeast Corridor Zone 12; no real incident or person is represented.,Y
SRC_EVT_0000012,EVT0000012,EPI000006,SW01,North Coast,Z008,North Coast Zone 08,Strong Wind,Wind,2025-03-25T01:23:08Z,2025-03-25T08:36:08Z,Public Report,42.3,KT,0,0,0,0,240.95K,0,Synthetic strong wind training event in North Coast Zone 08; no real incident or person is represented.,Y
SRC_EVT_0000013,EVT0000013,EPI000007,SW09,Gulf Reach,Z177,Gulf Reach Zone 17,Thunderstorm Wind,Convective,2025-07-25T21:50:46Z,2025-07-26T01:13:46Z,Fire Department,46.8,KT,0,0,0,0,0,0,Synthetic thunderstorm wind training event in Gulf Reach Zone 17; no real incident or person is represented.,Y
SRC_EVT_0000014,EVT0000014,EPI000008,SW07,Lake Country,Z130,Lake Country Zone 10,Strong Wind,Wind,2025-07-31T14:35:27Z,2025-08-01T01:36:27Z,Public Report,71.7,KT,0,0,0,0,0,0,Synthetic strong wind training event in Lake Country Zone 10; no real incident or person is represented.,Y
